match_date,competition_name,home_team,home_score,home_elo,home_tries,home_conversion,home_penalty,home_kick,away_team,away_score,away_elo,away_tries,away_conversion,away_penalty,away_kick
2001-11-19,Rugby World Cup Qualifier,Cayman Islands,32,2514,2,2,6,0,Guyana,13,2485,1,1,2,0
2001-11-19,Rugby World Cup Qualifier,Barbados,25,2485,1,1,6,0,Bahamas,18,2484,0,0,6,0
2001-11-21,Rugby World Cup Qualifier,Bermuda,13,2522,1,1,2,0,Barbados,5,2476,1,0,0,0
2001-11-21,Rugby World Cup Qualifier,Cayman Islands,8,2503,1,0,1,0,Trinidad and Tobago,12,2511,0,0,4,0
2001-11-21,Rugby World Cup Qualifier,Jamaica,18,2493,0,0,6,0,Guyana,15,2475,0,0,5,0
2001-11-22,Premiership Rugby,Saracens,13,2559,1,1,2,0,London Irish,55,2555,7,7,2,0
2001-11-23,Premiership Rugby,Leicester Tigers,23,2776,2,2,3,0,Harlequins,18,2463,0,0,6,0
2001-11-23,Premiership Rugby,Gloucester Rugby,43,2547,4,4,5,0,Wasps,13,2552,1,1,2,0
2001-11-23,Rugby World Cup Qualifier,Belgium,0,2467,0,0,0,0,Croatia,26,2601,2,2,4,0
2001-11-23,Rugby World Cup Qualifier,Switzerland,11,2473,1,0,2,0,Ukraine,30,2591,3,3,3,0
2001-11-23,Rugby World Cup Qualifier,Germany,44,2488,5,5,3,0,Latvia,0,2515,0,0,0,0
2001-11-23,Rugby World Cup Qualifier,Kenya,40,2486,4,4,4,0,Cameroon,15,2480,0,0,5,0
2001-11-23,Rugby World Cup Qualifier,Bermuda,12,2511,0,0,4,0,Trinidad and Tobago,23,2522,2,2,3,0
2001-11-23,Rugby World Cup Qualifier,Jamaica,5,2483,1,0,0,0,Bahamas,13,2494,1,1,2,0
2001-11-23,Rugby World Cup Qualifier,Cayman Islands,14,2492,2,2,0,0,Barbados,17,2487,2,2,1,0
2001-11-24,International Test Match,Spain,13,2464,1,0,2,0,South Africa A,28,2509,3,0,3,0
2001-11-25,Premiership Rugby,Bath Rugby,24,2604,3,3,1,0,Newcastle Falcons,9,2544,0,0,3,0
2001-11-25,Premiership Rugby,Yorkshire Carnegie,20,2478,2,2,2,0,Sale Sharks,47,2485,5,5,4,0
2001-11-25,Premiership Rugby,Northampton Saints,20,2540,2,2,2,0,Bristol Rugby,23,2504,2,2,3,0
2001-12-01,Premiership Rugby,Gloucester Rugby,58,2559,7,7,3,0,Yorkshire Carnegie,17,2467,2,2,1,0
2001-12-01,Premiership Rugby,Harlequins,16,2453,1,1,3,0,Sale Sharks,23,2494,2,2,3,0
2001-12-02,Premiership Rugby,Newcastle Falcons,13,2534,1,1,2,0,Northampton Saints,28,2550,4,4,0,0
2001-12-02,Premiership Rugby,Bristol Rugby,22,2496,1,1,5,0,Saracens,25,2568,1,1,6,0
2001-12-02,Premiership Rugby,London Irish,15,2550,0,0,5,0,Leicester Tigers,30,2781,3,3,3,0
2001-12-02,Premiership Rugby,Wasps,23,2563,2,2,3,0,Bath Rugby,10,2593,1,1,1,0
2001-12-08,Premiership Rugby,Sale Sharks,19,2495,1,1,4,0,London Irish,19,2550,1,1,4,0
2001-12-08,Premiership Rugby,Bath Rugby,12,2602,0,0,4,0,Gloucester Rugby,9,2550,0,0,3,0
2001-12-08,Premiership Rugby,Leicester Tigers,26,2784,2,2,4,0,Bristol Rugby,19,2492,1,1,4,0
2001-12-08,Premiership Rugby,Northampton Saints,23,2561,2,2,3,0,Wasps,10,2553,1,1,1,0
2001-12-09,Premiership Rugby,Saracens,19,2556,1,1,4,0,Newcastle Falcons,24,2545,3,3,1,0
2001-12-09,Premiership Rugby,Yorkshire Carnegie,23,2476,2,2,3,0,Harlequins,18,2444,0,0,6,0
2001-12-21,Rugby World Cup Qualifier,Trinidad and Tobago,10,2511,1,1,1,0,Brazil,11,2535,1,0,2,0
2001-12-22,Premiership Rugby,Harlequins,21,2440,3,3,0,0,Leicester Tigers,38,2788,5,5,1,0
2001-12-23,Premiership Rugby,London Irish,30,2560,3,3,3,0,Saracens,23,2547,2,2,3,0
2001-12-27,Premiership Rugby,Leicester Tigers,33,2792,3,3,4,0,Sale Sharks,10,2491,1,1,1,0
2001-12-29,Premiership Rugby,Bath Rugby,15,2608,0,0,5,0,Bristol Rugby,9,2486,0,0,3,0
2001-12-29,Premiership Rugby,Gloucester Rugby,29,2560,2,2,5,0,Newcastle Falcons,25,2535,1,1,6,0
2001-12-29,Premiership Rugby,Northampton Saints,24,2570,3,3,1,0,London Irish,15,2550,0,0,5,0
2001-12-30,Premiership Rugby,Yorkshire Carnegie,18,2468,0,0,6,0,Wasps,28,2561,4,4,0,0
2001-12-30,Premiership Rugby,Saracens,39,2553,3,3,6,0,Harlequins,25,2433,1,1,6,0
